iter	Passed	Remaining
0	2	3233
1	5	3202
2	7	2874
3	9	2700
4	10	2616
5	13	2725
6	16	2757
7	18	2695
8	19	2643
9	21	2582
10	23	2534
11	25	2513
12	27	2485
13	29	2532
14	31	2520
15	34	2533
16	36	2547
17	38	2548
18	40	2543
19	43	2562
20	45	2581
21	48	2579
22	50	2587
23	52	2592
24	55	2593
25	57	2605
26	61	2667
27	65	2730
28	70	2862
29	77	3033
30	80	3043
31	83	3030
32	85	3015
33	87	2992
34	89	2987
35	92	2999
36	95	2987
37	97	2977
38	99	2961
39	101	2940
40	103	2923
41	105	2909
42	109	2934
43	111	2924
44	113	2915
45	116	2910
46	118	2899
47	120	2888
48	122	2874
49	125	2878
50	127	2870
51	129	2854
52	131	2838
53	133	2829
54	135	2819
55	137	2808
56	139	2806
57	142	2802
58	144	2799
59	146	2789
60	148	2780
61	150	2767
62	152	2756
63	155	2758
64	157	2751
65	159	2738
66	161	2726
67	163	2717
68	165	2710
69	167	2699
70	169	2690
71	171	2693
72	174	2687
73	176	2684
74	178	2675
75	180	2671
76	182	2661
77	184	2654
78	187	2653
79	189	2648
80	191	2646
81	193	2641
82	195	2634
83	197	2624
84	199	2616
85	201	2613
86	204	2615
87	206	2606
88	208	2598
89	210	2594
90	212	2586
91	214	2580
92	216	2573
93	218	2572
94	220	2568
95	222	2562
96	224	2555
97	226	2549
98	228	2542
99	230	2537
100	232	2532
101	235	2531
102	237	2526
103	239	2518
104	240	2512
105	242	2505
106	244	2499
107	246	2495
108	248	2490
109	251	2489
110	253	2485
111	255	2480
112	257	2473
113	258	2467
114	260	2461
115	262	2455
116	264	2450
117	266	2447
118	269	2443
119	271	2440
120	273	2435
121	275	2431
122	277	2429
123	279	2425
124	281	2424
125	284	2421
126	286	2419
127	288	2419
128	290	2415
129	292	2411
130	294	2406
131	297	2406
132	299	2404
133	301	2398
134	303	2394
135	305	2390
136	307	2387
137	309	2382
138	311	2379
139	314	2381
140	316	2376
141	318	2371
142	320	2366
143	322	2363
144	324	2359
145	326	2354
146	330	2364
147	332	2366
148	335	2367
